Borough,DOF Gross Floor Area,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Water Required?
Manhattan,52000,Multifamily Housing,52000,2009,1,100,Whole Building,Whole Building,44,91.7,97.9,6,0.8,145.9,3681440.1,40157.6,1087854.8,314379.8,296.5,195.5,101,52000,3770.3,72.5,140,No
Manhattan,62169,Multifamily Housing,62169,2011,1,100,Whole Building,Whole Building,80,67.4,Not Available,Not Available,0.5,Not Available,2976696.7,31837.5,1213381.2,Not Available,270.7,158.1,112.6,62169,4472.7,71.94,111.6,No
Manhattan,60520,Multifamily Housing,60520,2008,1,100,Whole Building,Whole Building,22,98.4,103.2,6.3,0.8,153.4,4606423.5,49388.3,1351089.7,382248.2,370.1,244.7,125.4,60520,4102.3,67.78,150,Yes
Manhattan,716400,Multifamily Housing,716400,1947,5,95,Whole Building,Not Available,9,156.8,167.8,5.5,1.3,214.9,87083104.6,949153.5,13510455.3,3959687.5,6751.3,5497.5,1253.8,716400,Not Available,Not Available,203.4,Yes
Manhattan,66900,Multifamily Housing,67000,1999,1,100,Whole Building,Not Available,87,60.8,65.4,4.6,0.5,101.4,3020807.4,33276.1,1051483.6,308172.2,258,160.4,97.6,67000,6859.6,102.38,96.6,Yes
Manhattan,201276,Multifamily Housing,206867,1975,1,100,Whole Building,Not Available,1,132.4,134.1,13.9,0.9,240,18779399.3,187794,9928500.8,3016598.6,1918.8,997.5,921.4,216867,Not Available,Not Available,234.7,Yes
Manhattan,65000,Multifamily Housing,65018,1900,1,100,Whole Building,Not Available,28,85,91.3,9,0.6,159.8,3517869.7,39464.9,2011857.3,582967.3,373.6,186.9,186.7,65018,Not Available,Not Available,154,Yes
Manhattan,113535,Multifamily Housing,134100,1986,1,100,Whole Building,Whole Building,32,100.3,Not Available,Not Available,0.9,Not Available,10905181.6,116087.8,2544819.6,Not Available,815.4,579.2,236.2,134100,12445.3,92.81,145,Yes
Manhattan,98184,Multifamily Housing,88837,1996,1,100,Whole Building,Whole Building,41,74.1,76,8.7,0.5,142.2,3805116.6,41039.9,2773280.3,776807.1,459.5,202.1,257.4,88837,4026.8,45.33,143,Yes
Manhattan,117118,Multifamily Housing,115261,1984,1,100,Whole Building,Whole Building,100,16.8,16.8,3.8,0,44.8,442484.9,4424.8,1522407.1,446191.9,164.8,23.5,141.3,117118,Not Available,Not Available,44.8,Yes
Manhattan,78087,Other,78087,1930,1,100,Whole Building,Not Available,Not Available,42,Not Available,6.5,0.1,Not Available,657599.9,7324.1,1762912.2,504663.1,262,98.4,163.6,78087,2963.8,37.95,90.8,Yes
Manhattan,358400,Multifamily Housing,352410,1972,1,100,Whole Building,Whole Building,Not Available,75.6,78.6,15,0.3,189.6,9600550.1,98213.6,17477679.7,5380191.4,2131.9,509.9,1621.9,358400,34414.9,96.02,181.3,Yes
Manhattan,84941,Multifamily Housing,84941,1973,1,90,Whole Building,Whole Building,20,126.8,134.1,7.2,1.1,192.1,8638703.5,93069.1,2128903.4,610679.8,656.4,458.8,197.6,84941,219,2.58,185.5,No
Manhattan,112500,Office,82454,1901,1,90,Whole Building,Not Available,98,26.3,25.5,7.4,0,79.8,6474.3,72.2,3521411.1,999558.6,327.1,0.3,326.8,134237,Not Available,Not Available,82.4,Yes
Manhattan,264386,Multifamily Housing,274857,1980,1,100,Whole Building,Whole Building,63,81.1,84.3,6.4,0.6,134.3,16038999.9,171686,6252527.4,1763062.5,1432.1,851.9,580.2,274857,25909.1,94.26,132.7,No
Manhattan,123885,Office,123885,1973,1,100,Whole Building,Not Available,95,45,44.5,7.7,0,100.6,99666.7,996.7,3294945.6,948584.3,474.9,169.1,305.8,123885,Not Available,Not Available,102.1,Yes
