Borough,DOF Gross Floor Area,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Water Required?
Manhattan,289356,Office,293447,1963,2,100,Whole Building,Not Available,Not Available,305.6,303.1,37.8,Not Available,614.2,Not Available,Not Available,38139374.2,11082770.5,6962.2,0,6962.2,762051,Not Available,Not Available,619.4,No
Manhattan,3693539,Hospital (General Medical & Surgical),3889181,1969,12,100,Whole Building,Whole Building,55,229.8,228.8,24.8,2.4,401.1,933073441,9330734.4,332365924,96261312.1,55870.4,51016.4,4854.1,3889181,Not Available,Not Available,404.3,No
Manhattan,152765,Hospital (General Medical & Surgical),231342,1924,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,231342,Not Available,Not Available,Not Available,No
Manhattan,891040,Hospital (General Medical & Surgical),1305748,1971,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,1305748,Not Available,Not Available,Not Available,No
Manhattan,211400,Hospital (General Medical & Surgical),179694,1932,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,179694,Not Available,Not Available,Not Available,No
Manhattan,2230742,Hospital (General Medical & Surgical),2971874,1932,12,100,Whole Building,Whole Building,55,359.9,359,8.3,4.8,411.5,1432250877,14322508.8,86335350.5,24550859.4,54429.8,77564.1,-23134.3,2971874,Not Available,Not Available,414.2,No
Manhattan,245000,Other,245000,1932,1,60,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,245000,Not Available,Not Available,Not Available,Yes
Queens,3750565,Multifamily Housing,2400000,1974,4,100,Whole Building,Combination of common and tenant areas,Not Available,143974.4,143976,Not Available,1439.7,151174.5,3.94E+11,3942852422,Not Available,Not Available,20943400,20943400,0,2738875,107151.5,39.13,151172.9,Yes
Queens,3750565,Other,200,1974,1,100,Whole Building,Not Available,Not Available,1138.3,1091.5,319.9,Not Available,3427.3,Not Available,Not Available,227658.1,63979.9,21.1,0,21.1,200,19261.1,96305.69,3574.2,Yes
Queens,3750565,Other,2738875,1974,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,912892,Not Available,Not Available,Not Available,Yes
Queens,3750565,Other,2738875,1974,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,912892,Not Available,Not Available,Not Available,Yes
Queens,3750565,Other,2738875,1974,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,912892,Not Available,Not Available,Not Available,
,,Multifamily Housing,412503,1903,2,100,Whole Building,Whole Building,93,32,Not Available,7.5,0,Not Available,2047200,20472,11241926.1,3249755.2,1194,150.8,1043.2,432503,22061,51.01,87.9,Yes
Brooklyn,212656,Multifamily Housing,162656,1903,1,100,Whole Building,Not Available,1,295.4,316.8,5.8,3,374.2,47522901.2,512710.7,3477064.5,1004824,2846.8,2524.2,322.7,172656,Not Available,Not Available,352.2,
,,Hospital (General Medical & Surgical),567517,1950,2,100,Whole Building,Whole Building,80,352.7,Not Available,32.2,2.2,Not Available,128486713.1,1255514.1,62425429.2,18295844.6,13302.6,7509.5,5793.1,567517,9574,16.87,599.5,No
Staten Island,567517,Hospital (General Medical & Surgical),567517,1950,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,567517,Not Available,Not Available,Not Available,Yes
Staten Island,53917,Medical Office,58893,1950,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,58893,Not Available,Not Available,Not Available,
,,College/University,323000,1907,7,100,Whole Building,Not Available,Not Available,120,125.2,8.7,0.9,193.6,52441239.4,556997.6,17958140.6,5217062.4,4554.7,2888.2,1666.5,598000,Not Available,Not Available,188.7,Yes
,,Multifamily Housing,321464,1939,2,100,Whole Building,Whole Building,72,76.2,79.9,3.5,0,106.2,880200,8906.3,3968641.7,1121931.8,1893.4,1525.1,368.3,321464,5915.6,18.4,103.3,Yes
Manhattan,179130,Multifamily Housing,204720,1939,1,100,Whole Building,Not Available,67,75.7,79,4,0,109.1,553439.4,5604.4,2886852.2,820016.2,1204.4,936.5,267.9,204720,Not Available,Not Available,106.6,
Manhattan,102150,Multifamily Housing,116744,1939,1,100,Whole Building,Not Available,80,77.1,82.7,2.6,0,102.8,326760.6,3301.9,1081789.4,308074.6,689,588.6,100.4,116744,Not Available,Not Available,97.7,Yes
,,Multifamily Housing,189766,1911,2,100,Whole Building,Whole Building,100,68,Not Available,6.1,0.5,Not Available,8786386.9,98264.5,4013954.9,1156269.9,847.5,475,372.5,189766,Not Available,Not Available,115.6,Yes
Manhattan,151666,Multifamily Housing,130629,1911,1,100,Another configuration,Not Available,100,23.7,23.4,6.8,Not Available,73.3,Not Available,Not Available,3090622.7,894049,286.8,0,286.8,130629,Not Available,Not Available,74.3,
Manhattan,64827,Multifamily Housing,54913,1911,1,100,Another configuration,Not Available,100,17.9,17.4,4.8,0,52.3,59412.9,601,923332.2,262377.2,88.8,3.2,85.7,54913,231.9,4.22,53.9,Yes
,,Residence Hall/Dormitory,535632,1964,2,100,Whole Building,Whole Building,Not Available,115.9,118.8,0,1.2,124.7,61638997.2,631631.4,5527.4,1620,3308.4,3307.8,0.5,535632,8984.2,16.77,121.7,No
Manhattan,256528,College/University,256528,1964,1,100,Whole Building,Not Available,Not Available,0,0,0,0,0,0,0,0,0,0,0,0,256528,Not Available,Not Available,0,Yes
Manhattan,339104,College/University,339104,1964,1,100,Whole Building,Not Available,Not Available,0,0,0,0,0,0,0,0,0,0,0,0,339104,Not Available,Not Available,0,No
Manhattan,54725,College/University,199058.1,1971,2,100,Whole Building,Whole Building,Not Available,26.9,26.9,7.9,0,84.5,100,1,5357112.7,1570079.7,497.1,0,497.1,199058,1009.9,5.07,84.5,
Manhattan,61582,College/University,61582,1971,0,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,61582,Not Available,Not Available,Not Available,
Bronx,750000,Multifamily Housing,855844,1962,6,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,641719,Not Available,Not Available,Not Available,
Manhattan,175885,Multifamily Housing,175885,1973,2,100,Whole Building,Whole Building,40,56.2,58.8,10.7,0.2,138.3,3826349.7,39028.3,6056300.2,1887619.4,765.3,203.2,562,175885,237.9,1.35,131,
Queens,167856,Multifamily Housing,152308,1952,4,100,Whole Building,Whole Building,67,49.5,50.7,7.4,0.3,105.7,3634699.8,38952.7,3900932.9,1121175.7,555.1,193.1,362,152308,Not Available,Not Available,105.5,
Queens,217584,Multifamily Housing,228570,1952,6,100,Whole Building,Whole Building,99,25.5,25.1,4.9,0.1,61.4,1919800,19198,3900932.9,1121175.7,464,102,362,228570,Not Available,Not Available,62.4,Yes
Queens,145056,Multifamily Housing,152380,1952,4,100,Whole Building,Whole Building,12,65.3,66.8,12.4,0.2,158.7,3422100,37194.6,6531693.6,1892619.8,787.9,181.8,606.1,152380,Not Available,Not Available,158.2,No
Queens,290112,Multifamily Housing,304760,1952,8,100,Whole Building,Whole Building,88,43.7,43.4,5.7,0.2,86.6,7268300.3,72683,6057016.5,1749805.6,948.1,386.1,562.1,304760,Not Available,Not Available,87.4,No
,,College/University,6386382,1897,56,100,Whole Building,Not Available,Not Available,175.9,175.9,16.2,1.2,300.4,770027489,7700274.9,353396020.5,103574436.6,73694.9,40899.9,32795,6385382,Not Available,Not Available,300.4,No
,,Office,83131,1996,1,100,Whole Building,Whole Building,100,0,0,0,0,0,0,0,0,0,0,0,0,83131,975.6,11.74,0,
,,Office,50000,1906,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,50000,Not Available,Not Available,Not Available,
,,Residence Hall/Dormitory,54138,1950,1,100,Whole Building,Not Available,100,0.5,0.5,Not Available,0,0.5,28000,280,Not Available,Not Available,1.5,1.5,0,54138,Not Available,Not Available,0.5,
,,Residence Hall/Dormitory,48608,1898,1,100,Whole Building,Not Available,99,16,16,4.5,0,49.1,27900,279,750367,219920,71.1,1.5,69.6,48608,Not Available,Not Available,49.1,
Manhattan,57300,Multifamily Housing,42352,1908,1,100,Whole Building,Not Available,100,6.1,5.8,0.7,0,10.9,157800,1468.2,98511.3,28872,17.5,8.4,9.1,57300,1668.9,39.41,11.2,
Manhattan,57430,Residence Hall/Dormitory,42128,1908,1,100,Whole Building,Not Available,100,6.8,6.8,1.2,0,15.8,115700,1157,172640.4,50598,22.2,6.1,16,42128,Not Available,Not Available,15.8,
Manhattan,52624,Residence Hall/Dormitory,72109,1898,1,100,Whole Building,Not Available,89,30.4,30.4,8.6,0,93,85200,852,2106568.7,617399.9,200,4.5,195.5,72109,Not Available,Not Available,93,
Manhattan,135458,Residence Hall/Dormitory,140056,1924,1,100,Whole Building,Not Available,86,34.2,34.2,10,Not Available,107.3,Not Available,Not Available,4787718.5,1403199.9,444.3,0,444.3,140056,Not Available,Not Available,107.3,
,,Office,258119,1999,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,258119,Not Available,Not Available,Not Available,
,,Office,441108,1934,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,441108,Not Available,Not Available,Not Available,
,,Residence Hall/Dormitory,157385,1908,1,100,Whole Building,Not Available,100,0,0,Not Available,0,0,0,0,Not Available,Not Available,0,0,0,157385,Not Available,Not Available,0,No
,,Residence Hall/Dormitory,79951,1924,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,79951,Not Available,Not Available,Not Available,No
,,Residence Hall/Dormitory,87639,1907,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,87639,Not Available,Not Available,Not Available,No
,,Residence Hall/Dormitory,78464,1924,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,78464,Not Available,Not Available,Not Available,No
,,Office,77271,1925,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,77271,Not Available,Not Available,Not Available,No
,,Office,103681,1925,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,103681,Not Available,Not Available,Not Available,No
,,Office,101704,1924,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,101704,Not Available,Not Available,Not Available,No
,,Residence Hall/Dormitory,169396,1935,1,100,Whole Building,Not Available,100,0,0,Not Available,0,0,0,0,Not Available,Not Available,0,0,0,169396,Not Available,Not Available,0,No
Manhattan,710600,Residence Hall/Dormitory,105156,1925,1,100,Whole Building,Not Available,100,0,0,Not Available,0,0,0,0,Not Available,Not Available,0,0,0,105156,Not Available,Not Available,0,No
Manhattan,710600,Office,249978,1961,1,100,Whole Building,Not Available,73,73.4,73.4,21.5,Not Available,230.3,Not Available,Not Available,18337452.7,5374399.3,1701.7,0,1701.7,249978,Not Available,Not Available,230.3,No
Manhattan,710600,Office,16803,1950,1,100,Whole Building,Not Available,100,0,0,Not Available,0,0,0,0,Not Available,Not Available,0,0,0,16803,Not Available,Not Available,0,No
Manhattan,710600,Office,36752,1950,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,36752,Not Available,Not Available,Not Available,No
Manhattan,710600,Office,6287,1950,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,6287,Not Available,Not Available,Not Available,No
Manhattan,422915,Office,423521,1910,1,100,Whole Building,Not Available,71,69.9,69.9,20.5,Not Available,219.5,Not Available,Not Available,29607971.1,8677598.9,2747.6,0,2747.6,423521,Not Available,Not Available,219.5,No
Manhattan,365100,Residence Hall/Dormitory,352040,1980,1,100,Whole Building,Whole Building,100,0,0,Not Available,0,0,0,0,Not Available,Not Available,0,0,0,352040,Not Available,Not Available,0,No
Manhattan,1368870,Office,95954,1977,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,95954,Not Available,Not Available,Not Available,No
Manhattan,1368870,Office,204069,1988,1,100,Whole Building,Not Available,1,4377.4,4377.4,179.3,37.7,5874.8,768452989,7684529.9,124836566,36587500.2,52401,40816.2,11584.8,204069,Not Available,Not Available,5874.8,No
Manhattan,1368870,Office,77917,1950,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,77917,Not Available,Not Available,Not Available,No
Manhattan,1368870,Office,60373,1897,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,60373,Not Available,Not Available,Not Available,No
Manhattan,1368870,Office,62004,1987,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,62004,Not Available,Not Available,Not Available,No
Manhattan,1368870,Office,59847,1924,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,59847,Not Available,Not Available,Not Available,No
Manhattan,1368870,Office,64447,1911,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,64447,Not Available,Not Available,Not Available,No
Manhattan,1368870,Office,111632,1910,1,100,Common areas only,Not Available,Not Available,0,0,0,Not Available,0,Not Available,Not Available,0,0,0,0,0,111632,Not Available,Not Available,0,No
Manhattan,1368870,Office,147145,1927,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,147145,Not Available,Not Available,Not Available,No
Manhattan,1368870,Office,148666,1974,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,148666,Not Available,Not Available,Not Available,No
Manhattan,1368870,Office,149779,1987,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,149779,Not Available,Not Available,Not Available,No
Manhattan,1368870,Office,126670,1897,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,126670,Not Available,Not Available,Not Available,No
Manhattan,1368870,Office,199107,1964,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,199107,Not Available,Not Available,Not Available,No
Manhattan,1368870,Office,90679,1897,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,90679,Not Available,Not Available,Not Available,No
Manhattan,1368870,Office,133021,1930,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,133021,Not Available,Not Available,Not Available,No
Manhattan,1368870,Office,166959,1964,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,166959,Not Available,Not Available,Not Available,No
Manhattan,1368870,College/University,287737,1950,1,100,Whole Building,Not Available,Not Available,0.3,0.3,Not Available,0,0.3,87900,879,Not Available,Not Available,4.7,4.7,0,287737,Not Available,Not Available,0.3,No
Manhattan,1368870,Worship Facility,20035,1950,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,20035,Not Available,Not Available,Not Available,No
Manhattan,1368870,Office,163689,1950,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,163689,Not Available,Not Available,Not Available,Yes
Manhattan,1368870,Residence Hall/Dormitory,34637,1950,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,34637,Not Available,Not Available,Not Available,No
Manhattan,1368870,Office,11712,1950,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,11712,Not Available,Not Available,Not Available,Yes
Manhattan,1368870,Residence Hall/Dormitory,131923,1950,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,131923,Not Available,Not Available,Not Available,Yes
Manhattan,1368870,Office,27713,1950,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,27713,Not Available,Not Available,Not Available,No
Manhattan,1368870,Office,21482,1950,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,21482,Not Available,Not Available,Not Available,
Manhattan,1368870,Office,17651,1950,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,17651,Not Available,Not Available,Not Available,Yes
Manhattan,1368870,College/University,207750,2010,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,207750,Not Available,Not Available,Not Available,
Manhattan,55960,Multifamily Housing,53440,1909,1,100,Whole Building,Whole Building,100,0.1,0.1,Not Available,0,0.1,5800,58,Not Available,Not Available,0.3,0.3,0,53440,517.4,9.68,0.1,
Manhattan,74634,Residence Hall/Dormitory,74328,1920,1,100,Whole Building,Whole Building,100,1.1,1.1,0,0,1.4,71800,718,9720.8,2849,4.7,3.8,0.9,74328,Not Available,Not Available,1.4,No
Manhattan,50120,Residence Hall/Dormitory,50120,1924,1,100,Whole Building,Not Available,100,0.1,0.1,0,0,0.3,0,0,5281.8,1548,0.5,0,0.5,50120,Not Available,Not Available,0.3,No
Manhattan,50120,Residence Hall/Dormitory,49668,1924,1,100,Whole Building,Not Available,100,7.5,7.5,0.2,0.1,9.3,336800,3368,34727.3,10178,21.1,17.9,3.2,49668,1976.2,39.79,9.3,
Manhattan,55056,Residence Hall/Dormitory,57903,1932,1,100,Whole Building,Whole Building,100,11.4,11.4,0,0.1,11.9,657600,6576,0,0,34.9,34.9,0,57903,Not Available,Not Available,11.9,Yes
,,College/University,2904696,1914,12,100,Whole Building,Not Available,Not Available,111.5,110.3,24,0.3,287.3,82040481.3,820404.8,241907518,69844385.5,26806.5,4357.6,22449,2904696,Not Available,Not Available,291.2,No
Manhattan,286481,Office,226310,2004,1,100,Whole Building,Whole Building,1,391.6,Not Available,51.8,2.1,Not Available,56815600.4,588003.2,49343250,14272721.7,7725.9,3146.9,4579,275533,44067.7,159.94,785.2,No
,,Office,107015,1998,1,100,Whole Building,Whole Building,Not Available,408.9,412.6,63.9,1.9,889.1,28158200.8,291161.4,33831547,9782294.3,4677,1537.4,3139.6,152978,10740.5,70.21,891.4,No
,,Office,44908,1995,1,100,Whole Building,Whole Building,Not Available,545,Not Available,58,3.3,Not Available,23746399.9,230585.5,13968727.8,4042256.4,2578.1,1281.8,1296.3,69705,8565.9,122.89,991,Yes
Manhattan,3693539,Office,498466,1929,1,100,Whole Building,Whole Building,Not Available,430.8,436.5,51.4,0,864.5,1450881,14508.8,128220229.9,36830618.2,23865.2,77.1,23788.1,716678,29331.1,40.93,864.5,
Manhattan,93600,Office,56959,1914,1,100,Whole Building,Whole Building,74,108.3,108.1,5.8,Not Available,168.3,Not Available,Not Available,1954768.9,565153.5,754,0,754,97642,Not Available,Not Available,169.1,
,,Office,242390,1928,1,100,Whole Building,Whole Building,19,259.5,264.6,18.2,Not Available,438.5,Not Available,Not Available,15880812.4,4654399.3,4829.9,0,4829.9,256014,3005.7,11.74,432.3,No
Manhattan,230565,Office,246237,1976,1,100,Whole Building,Whole Building,1,555.8,555.8,45.5,0,969,27600,276,50375310.3,14764157.1,13317.6,1.5,13316.1,324836,71526.5,220.19,969,No
Manhattan,136608,Office,117368,1929,1,100,Whole Building,Whole Building,84,108.6,111.9,6.9,0.3,164.1,5448026.1,54480.3,4148446,1195236.2,1367.8,982.8,385,174348,10175,58.36,161.7,
Manhattan,807327,Office,138403,1973,1,100,Whole Building,Not Available,78,105.8,109.3,8.2,0.2,170.8,6498553,64985.5,7552185.4,2200919.5,2113.7,1412.9,700.8,268861,Not Available,Not Available,167.6,Yes
Manhattan,1651267,Office,285890,1973,1,100,Whole Building,Whole Building,78,124.5,Not Available,6.7,Not Available,Not Available,23052893.3,Not Available,11208692.6,3238312.8,4172.5,3132.4,1040.2,481715,Not Available,Not Available,177.2,No
Manhattan,84442,Office,52850,1970,1,100,Whole Building,Whole Building,81,85.6,89.8,9.8,0,161.7,49786,523.1,2898517.5,825719.4,589.9,320.9,269,84508,1753.4,20.75,159.6,No
,,College/University,953183,1905,4,100,Another configuration,Another configuration,Not Available,92.4,92.4,11.2,0,184.4,2679329,30362.3,36618926.7,10630818.5,6780.5,142.3,6638.2,953183,28781.5,30.2,185.2,No
,,Residence Hall/Dormitory,66687,1952,1,100,Whole Building,Whole Building,84,53.8,58.9,7,0.4,111.7,1996358.1,23357.4,1590366.2,466109.6,253.6,106,147.6,66687,3048.6,45.71,106.3,
Manhattan,125840,College/University,128572,1905,1,100,Whole Building,Whole Building,Not Available,62.2,63.8,13.5,Not Available,165.8,Not Available,Not Available,6028120.2,1733059.2,690.5,0,690.5,128572,818,6.36,165.7,No
Manhattan,526781,College/University,628399,1964,1,100,Whole Building,Whole Building,Not Available,121.7,121.7,13.5,0,235.7,682970.9,6829.7,29000440.2,8499541.8,5836.4,36.3,5800.1,628399,24914.9,39.65,235.7,Yes
,,Not Available,Not Available,1940,8,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,20965612.6,221463.1,466575477.2,134297837,79590.5,1113.6,78476.9,3465563,Not Available,Not Available,Not Available,No
Manhattan,239235,Urgent Care/Clinic/Other Outpatient,105518,2009,1,100,Whole Building,Whole Building,Not Available,250.1,252,38.9,Not Available,560.2,Not Available,Not Available,32115563.6,9268810,4805.1,0,4805.1,238341,12902.4,54.13,561.8,No
Manhattan,62200,Medical Office,30840,2003,1,100,Whole Building,Not Available,6,147.9,150,28,Not Available,365.6,Not Available,Not Available,5910266.3,1687597.8,747.8,0,747.8,60274,Not Available,Not Available,367.8,No
Manhattan,228637,Other,327993,1987,1,100,Whole Building,Whole Building,Not Available,399.3,409,57,Not Available,868.5,Not Available,Not Available,65532688.1,18682622.3,10427,0,10427,327993,Not Available,Not Available,867.4,No
Manhattan,731550,Other,701010,2006,1,100,Whole Building,Not Available,Not Available,475.5,463.3,64.8,0,985.5,21533.3,215.3,168728314.2,48192396.2,27941.3,1.1,27940.1,743935,Not Available,Not Available,1011.3,No
,,College/University,10477571,1833,77,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10477571,Not Available,Not Available,Not Available,No
Manhattan,518647,Multifamily Housing,454925,1966,1,100,Another configuration,Whole Building,100,5.4,5.5,1,0,12.8,939000,9541.6,1536764.8,450399.9,192.5,49.9,142.6,454925,Not Available,Not Available,12.8,Yes
Manhattan,307312,Residence Hall/Dormitory,298336,1981,1,100,Whole Building,Not Available,100,8.1,8.2,2,0,22.6,422989.9,4405.8,1997060.6,585304.9,207.8,22.5,185.3,298336,11291.1,37.85,22.5,Yes
Manhattan,1485916,Multifamily Housing,306659,1959,1,100,Whole Building,Whole Building,100,16.1,16.2,4.2,0,47,550200,5626.8,4399125.7,1289309.8,437.5,29.2,408.2,306659,Not Available,Not Available,46.9,No
Manhattan,1485916,Multifamily Housing,322355,1960,1,100,Whole Building,Not Available,100,15.3,14.8,3.8,0,42.6,563900,5792.9,4355622.6,1224302.3,434.2,30,404.2,322355,Not Available,Not Available,44.3,No
Manhattan,1485916,Multifamily Housing,322571,1960,1,100,Whole Building,Not Available,100,18.2,17.5,4.6,0,51.1,571800,5827.5,5285841.5,1482158.3,520.9,30.4,490.5,322571,Not Available,Not Available,53.3,Yes
Manhattan,305900,College/University,213423,1992,1,100,Another configuration,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,213423,Not Available,Not Available,Not Available,Yes
Manhattan,305900,College/University,89951,1896,1,100,Whole Building,Not Available,Not Available,19.6,19.6,5.8,Not Available,61.7,Not Available,Not Available,1767415.9,517999.9,164,0,164,89951,Not Available,Not Available,61.7,No
Manhattan,305900,College/University,113233,1972,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,113233,Not Available,Not Available,Not Available,Yes
Manhattan,470400,Library,505205,1972,1,100,Another configuration,Whole Building,Not Available,0,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,0,0,505205,Not Available,Not Available,0,
Manhattan,119170,College/University,158590,1966,1,100,Whole Building,Not Available,Not Available,9915.6,9958.6,44,94.3,10755.3,1495878417,14958784.2,23813032,6979199.6,85582.7,83372.9,2209.8,158590,27410.9,172.84,10711.8,Yes
Manhattan,232930,Social/Meeting Hall,247639,2001,1,100,Whole Building,Not Available,Not Available,30.6,30.6,7.1,0.1,82.9,1555140,15551.4,6018768.3,1763999.9,641.1,82.6,558.5,247639,Not Available,Not Available,82.9,Yes
