"","Borough","DOF.Gross.Floor.Area","Primary.Property.Type...Self.Selected","Largest.Property.Use.Type","Largest.Property.Use.Type...Gross.Floor.Area..ft..","Year.Built","Number.of.Buildings...Self.reported","Occupancy","Metered.Areas...Water.","Score","Site.EUI..kBtu.ft..","Weather.Normalized.Site.EUI..kBtu.ft..","Weather.Normalized.Site.Electricity.Intensity..kWh.ft..","Weather.Normalized.Site.Natural.Gas.Intensity..therms.ft..","Weather.Normalized.Source.EUI..kBtu.ft..","Natural.Gas.Use..kBtu.","Weather.Normalized.Site.Natural.Gas.Use..therms.","Electricity.Use...Grid.Purchase..kBtu.","Weather.Normalized.Site.Electricity..kWh.","Total.GHG.Emissions..Metric.Tons.CO2e.","Direct.GHG.Emissions..Metric.Tons.CO2e.","Indirect.GHG.Emissions..Metric.Tons.CO2e.","Property.GFA...Self.Reported..ft..","Water.Use..All.Water.Sources...kgal.","Water.Intensity..All.Water.Sources...gal.ft..","Source.EUI..kBtu.ft..","Water.Required.","building_type"
"2","Manhattan",3693539,"Hospital (General Medical & Surgical)","Hospital (General Medical & Surgical)",3889181,1969,12,100,"WholeBuilding",52,229.8,228.8,24.8,2.4,401.1,933073441,9330734.4,332365924,96261312.1,55870.4,51016.4,4854.1,3889181,NA,NA,404.3,"No","Others"
"6","Manhattan",2230742,"Hospital (General Medical & Surgical)","Hospital (General Medical & Surgical)",2971874,1932,12,100,"WholeBuilding",52,359.9,359,8.3,4.8,411.5,1432250877,14322508.8,86335350.5,24550859.4,54429.8,77564.1,-23134.3,2971874,NA,NA,414.2,"No","Others"
"13","Brooklyn",NA,"Multifamily Housing","Multifamily Housing",412503,1903,2,100,"WholeBuilding",94,32,NA,7.5,0,NA,2047200,20472,11241926.1,3249755.2,1194,150.8,1043.2,432503,22061,51.01,87.9,"Yes","MultiFamilyHousing"
"14","Brooklyn",212656,"Multifamily Housing","Multifamily Housing",162656,1903,1,100,"Other",1,295.4,316.8,5.8,3,374.2,47522901.2,512710.7,3477064.5,1004824,2846.8,2524.2,322.7,172656,NA,NA,352.2,"Yes","MultiFamilyHousing"
"15","Staten",NA,"Hospital (General Medical & Surgical)","Hospital (General Medical & Surgical)",567517,1950,2,100,"WholeBuilding",80,352.7,NA,32.2,2.2,NA,128486713.1,1255514.1,62425429.2,18295844.6,13302.6,7509.5,5793.1,567517,9574,16.87,599.5,"No","Others"
"19","Manhattan",NA,"Multifamily Housing","Multifamily Housing",321464,1939,2,100,"WholeBuilding",71,76.2,79.9,3.5,0,106.2,880200,8906.3,3968641.7,1121931.8,1893.4,1525.1,368.3,321464,5915.6,18.4,103.3,"Yes","MultiFamilyHousing"
"20","Manhattan",179130,"Multifamily Housing","Multifamily Housing",204720,1939,1,100,"Other",65,75.7,79,4,0,109.1,553439.4,5604.4,2886852.2,820016.2,1204.4,936.5,267.9,204720,NA,NA,106.6,"Yes","MultiFamilyHousing"
"21","Manhattan",102150,"Multifamily Housing","Multifamily Housing",116744,1939,1,100,"Other",80,77.1,82.7,2.6,0,102.8,326760.6,3301.9,1081789.4,308074.6,689,588.6,100.4,116744,NA,NA,97.7,"Yes","MultiFamilyHousing"
"22","Manhattan",NA,"Multifamily Housing","Multifamily Housing",189766,1911,2,100,"WholeBuilding",3,68,NA,6.1,0.5,NA,8786386.9,98264.5,4013954.9,1156269.9,847.5,475,372.5,189766,NA,NA,115.6,"Yes","MultiFamilyHousing"
"23","Manhattan",151666,"Multifamily Housing","Multifamily Housing",130629,1911,1,100,"Other",3,23.7,23.4,6.8,NA,73.3,NA,NA,3090622.7,894049,286.8,0,286.8,130629,NA,NA,74.3,"Yes","MultiFamilyHousing"
"24","Manhattan",64827,"Multifamily Housing","Multifamily Housing",54913,1911,1,100,"Other",3,17.9,17.4,4.8,0,52.3,59412.9,601,923332.2,262377.2,88.8,3.2,85.7,54913,231.9,4.22,53.9,"Yes","MultiFamilyHousing"
"31","Manhattan",175885,"Multifamily Housing","Multifamily Housing",175885,1973,2,100,"WholeBuilding",36,56.2,58.8,10.7,0.2,138.3,3826349.7,39028.3,6056300.2,1887619.4,765.3,203.2,562,175885,237.9,1.35,131,"Yes","MultiFamilyHousing"
"32","Queens",167856,"Multifamily Housing","Multifamily Housing",152308,1952,4,100,"WholeBuilding",65,49.5,50.7,7.4,0.3,105.7,3634699.8,38952.7,3900932.9,1121175.7,555.1,193.1,362,152308,NA,NA,105.5,"Yes","MultiFamilyHousing"
"33","Queens",217584,"Multifamily Housing","Multifamily Housing",228570,1952,6,100,"WholeBuilding",100,25.5,25.1,4.9,0.1,61.4,1919800,19198,3900932.9,1121175.7,464,102,362,228570,NA,NA,62.4,"Yes","MultiFamilyHousing"
"34","Queens",145056,"Multifamily Housing","Multifamily Housing",152380,1952,4,100,"WholeBuilding",5,65.3,66.8,12.4,0.2,158.7,3422100,37194.6,6531693.6,1892619.8,787.9,181.8,606.1,152380,NA,NA,158.2,"No","MultiFamilyHousing"
"35","Queens",290112,"Multifamily Housing","Multifamily Housing",304760,1952,8,100,"WholeBuilding",88,43.7,43.4,5.7,0.2,86.6,7268300.3,72683,6057016.5,1749805.6,948.1,386.1,562.1,304760,NA,NA,87.4,"No","MultiFamilyHousing"
"37","Manhattan",NA,"Office","Office",83131,1996,1,100,"WholeBuilding",3,0,0,0,0,0,0,0,0,0,0,0,0,83131,975.6,11.74,0,"Yes","Office"
"39","Manhattan",NA,"Residence Hall/Dormitory","Residence Hall/Dormitory",54138,1950,1,100,"Other",3,0.5,0.5,NA,0,0.5,28000,280,NA,NA,1.5,1.5,0,54138,NA,NA,0.5,"Yes","Others"
"40","Manhattan",NA,"Residence Hall/Dormitory","Residence Hall/Dormitory",48608,1898,1,100,"Other",100,16,16,4.5,0,49.1,27900,279,750367,219920,71.1,1.5,69.6,48608,NA,NA,49.1,"Yes","Others"
"41","Manhattan",57300,"Multifamily Housing","Multifamily Housing",42352,1908,1,100,"Other",3,6.1,5.8,0.7,0,10.9,157800,1468.2,98511.3,28872,17.5,8.4,9.1,57300,1668.9,39.41,11.2,"Yes","MultiFamilyHousing"
"42","Manhattan",57430,"Residence Hall/Dormitory","Residence Hall/Dormitory",42128,1908,1,100,"Other",3,6.8,6.8,1.2,0,15.8,115700,1157,172640.4,50598,22.2,6.1,16,42128,NA,NA,15.8,"Yes","Others"
"43","Manhattan",52624,"Residence Hall/Dormitory","Residence Hall/Dormitory",72109,1898,1,100,"Other",89,30.4,30.4,8.6,0,93,85200,852,2106568.7,617399.9,200,4.5,195.5,72109,NA,NA,93,"Yes","Others"
"44","Manhattan",135458,"Residence Hall/Dormitory","Residence Hall/Dormitory",140056,1924,1,100,"Other",86,34.2,34.2,10,NA,107.3,NA,NA,4787718.5,1403199.9,444.3,0,444.3,140056,NA,NA,107.3,"Yes","Others"
"47","Manhattan",NA,"Residence Hall/Dormitory","Residence Hall/Dormitory",157385,1908,1,100,"Other",3,0,0,NA,0,0,0,0,NA,NA,0,0,0,157385,NA,NA,0,"No","Others"
"54","Manhattan",NA,"Residence Hall/Dormitory","Residence Hall/Dormitory",169396,1935,1,100,"Other",3,0,0,NA,0,0,0,0,NA,NA,0,0,0,169396,NA,NA,0,"No","Others"
"55","Manhattan",710600,"Residence Hall/Dormitory","Residence Hall/Dormitory",105156,1925,1,100,"Other",3,0,0,NA,0,0,0,0,NA,NA,0,0,0,105156,NA,NA,0,"No","Others"
"56","Manhattan",710600,"Office","Office",249978,1961,1,100,"Other",72,73.4,73.4,21.5,NA,230.3,NA,NA,18337452.7,5374399.3,1701.7,0,1701.7,249978,NA,NA,230.3,"No","Office"
"57","Manhattan",710600,"Office","Office",16803,1950,1,100,"Other",3,0,0,NA,0,0,0,0,NA,NA,0,0,0,16803,NA,NA,0,"No","Office"
"60","Manhattan",422915,"Office","Office",423521,1910,1,100,"Other",70,69.9,69.9,20.5,NA,219.5,NA,NA,29607971.1,8677598.9,2747.6,0,2747.6,423521,NA,NA,219.5,"No","Office"
"61","Manhattan",365100,"Residence Hall/Dormitory","Residence Hall/Dormitory",352040,1980,1,100,"WholeBuilding",3,0,0,NA,0,0,0,0,NA,NA,0,0,0,352040,NA,NA,0,"No","Others"
"63","Manhattan",1368870,"Office","Office",204069,1988,1,100,"Other",1,4377.4,4377.4,179.3,37.7,5874.8,768452989,7684529.9,124836566,36587500.2,52401,40816.2,11584.8,204069,NA,NA,5874.8,"No","Office"
"88","Manhattan",55960,"Multifamily Housing","Multifamily Housing",53440,1909,1,100,"WholeBuilding",3,0.1,0.1,NA,0,0.1,5800,58,NA,NA,0.3,0.3,0,53440,517.4,9.68,0.1,"Yes","MultiFamilyHousing"
"89","Manhattan",74634,"Residence Hall/Dormitory","Residence Hall/Dormitory",74328,1920,1,100,"WholeBuilding",3,1.1,1.1,0,0,1.4,71800,718,9720.8,2849,4.7,3.8,0.9,74328,NA,NA,1.4,"No","Others"
"90","Manhattan",50120,"Residence Hall/Dormitory","Residence Hall/Dormitory",50120,1924,1,100,"Other",3,0.1,0.1,0,0,0.3,0,0,5281.8,1548,0.5,0,0.5,50120,NA,NA,0.3,"No","Others"
"91","Manhattan",50120,"Residence Hall/Dormitory","Residence Hall/Dormitory",49668,1924,1,100,"Other",3,7.5,7.5,0.2,0.1,9.3,336800,3368,34727.3,10178,21.1,17.9,3.2,49668,1976.2,39.79,9.3,"Yes","Others"
"92","Manhattan",55056,"Residence Hall/Dormitory","Residence Hall/Dormitory",57903,1932,1,100,"WholeBuilding",3,11.4,11.4,0,0.1,11.9,657600,6576,0,0,34.9,34.9,0,57903,NA,NA,11.9,"Yes","Others"
"94","Manhattan",286481,"Office","Office",226310,2004,1,100,"WholeBuilding",1,391.6,NA,51.8,2.1,NA,56815600.4,588003.2,49343250,14272721.7,7725.9,3146.9,4579,275533,44067.7,159.94,785.2,"No","Office"
"98","Manhattan",93600,"Office","Office",56959,1914,1,100,"WholeBuilding",73,108.3,108.1,5.8,NA,168.3,NA,NA,1954768.9,565153.5,754,0,754,97642,NA,NA,169.1,"Yes","Office"
"99","Manhattan",NA,"Office","Office",242390,1928,1,100,"WholeBuilding",12,259.5,264.6,18.2,NA,438.5,NA,NA,15880812.4,4654399.3,4829.9,0,4829.9,256014,3005.7,11.74,432.3,"No","Office"
"100","Manhattan",230565,"Office","Office",246237,1976,1,100,"WholeBuilding",1,555.8,555.8,45.5,0,969,27600,276,50375310.3,14764157.1,13317.6,1.5,13316.1,324836,71526.5,220.19,969,"No","Office"
"101","Manhattan",136608,"Office","Office",117368,1929,1,100,"WholeBuilding",84,108.6,111.9,6.9,0.3,164.1,5448026.1,54480.3,4148446,1195236.2,1367.8,982.8,385,174348,10175,58.36,161.7,"Yes","Office"
"102","Manhattan",807327,"Office","Office",138403,1973,1,100,"Other",77,105.8,109.3,8.2,0.2,170.8,6498553,64985.5,7552185.4,2200919.5,2113.7,1412.9,700.8,268861,NA,NA,167.6,"Yes","Office"
"103","Manhattan",1651267,"Office","Office",285890,1973,1,100,"WholeBuilding",77,124.5,NA,6.7,NA,NA,23052893.3,NA,11208692.6,3238312.8,4172.5,3132.4,1040.2,481715,NA,NA,177.2,"No","Office"
"104","Manhattan",84442,"Office","Office",52850,1970,1,100,"WholeBuilding",81,85.6,89.8,9.8,0,161.7,49786,523.1,2898517.5,825719.4,589.9,320.9,269,84508,1753.4,20.75,159.6,"No","Office"
"106","Manhattan",NA,"Residence Hall/Dormitory","Residence Hall/Dormitory",66687,1952,1,100,"WholeBuilding",84,53.8,58.9,7,0.4,111.7,1996358.1,23357.4,1590366.2,466109.6,253.6,106,147.6,66687,3048.6,45.71,106.3,"Yes","Others"
"111","Manhattan",62200,"Medical Office","Medical Office",30840,2003,1,100,"Other",57,147.9,150,28,NA,365.6,NA,NA,5910266.3,1687597.8,747.8,0,747.8,60274,NA,NA,367.8,"No","Others"
"115","Manhattan",518647,"Multifamily Housing","Multifamily Housing",454925,1966,1,100,"WholeBuilding",3,5.4,5.5,1,0,12.8,939000,9541.6,1536764.8,450399.9,192.5,49.9,142.6,454925,NA,NA,12.8,"Yes","MultiFamilyHousing"
"116","Manhattan",307312,"Residence Hall/Dormitory","Residence Hall/Dormitory",298336,1981,1,100,"Other",3,8.1,8.2,2,0,22.6,422989.9,4405.8,1997060.6,585304.9,207.8,22.5,185.3,298336,11291.1,37.85,22.5,"Yes","Others"
"117","Manhattan",1485916,"Multifamily Housing","Multifamily Housing",306659,1959,1,100,"WholeBuilding",3,16.1,16.2,4.2,0,47,550200,5626.8,4399125.7,1289309.8,437.5,29.2,408.2,306659,NA,NA,46.9,"No","MultiFamilyHousing"
"118","Manhattan",1485916,"Multifamily Housing","Multifamily Housing",322355,1960,1,100,"Other",3,15.3,14.8,3.8,0,42.6,563900,5792.9,4355622.6,1224302.3,434.2,30,404.2,322355,NA,NA,44.3,"No","MultiFamilyHousing"
"119","Manhattan",1485916,"Multifamily Housing","Multifamily Housing",322571,1960,1,100,"Other",3,18.2,17.5,4.6,0,51.1,571800,5827.5,5285841.5,1482158.3,520.9,30.4,490.5,322571,NA,NA,53.3,"Yes","MultiFamilyHousing"
"127","Manhattan",153348,"Residence Hall/Dormitory","Residence Hall/Dormitory",144268,1986,1,100,"Other",3,4.5,4.5,0,0,4.7,645900,6459,0,0,34.3,34.3,0,144268,NA,NA,4.7,"No","Others"
"131","Manhattan",NA,"Residence Hall/Dormitory","Residence Hall/Dormitory",76964,1894,1,100,"Other",3,5.4,5.4,1.2,0,14,103300,1033,308990.7,90560,34.2,5.5,28.7,76964,NA,NA,14,"Yes","Others"
"142","Manhattan",116237,"Residence Hall/Dormitory","Residence Hall/Dormitory",169984,1962,1,100,"Other",3,12.3,13,NA,0.1,13.6,2574200,27199.4,NA,NA,136.7,136.7,0,209364,NA,NA,12.9,"Yes","Others"
"144","Manhattan",179800,"Residence Hall/Dormitory","Residence Hall/Dormitory",182714,1929,1,100,"Other",3,19.3,19.3,4.2,0,50.5,887700,8877,2639386.3,773559.8,292.1,47.2,244.9,182714,NA,NA,50.5,"No","Others"
"146","Manhattan",NA,"Multifamily Housing","Multifamily Housing",305587,1960,1,100,"Other",1,184.3,183.7,4.8,1.7,227.4,51080100.2,510801,5240593,1481027.6,3199.4,2713.1,486.3,305587,NA,NA,229.4,"Yes","MultiFamilyHousing"
"147","Manhattan",NA,"Hospital (General Medical & Surgical)","Hospital (General Medical & Surgical)",198896,1893,2,100,"WholeBuilding",12,317.6,310,29.2,0.8,554.2,17800699.6,156023,20327067.3,5814469.3,4493.9,945.5,3548.5,198896,1916545.9,9635.92,566.3,"No","Others"
"148","Manhattan",56756,"Medical Office","Medical Office",60828,1893,1,100,"WholeBuilding",76,127.6,133.4,NA,NA,160.5,NA,NA,NA,NA,515.2,0,515.2,60828,6595.4,108.43,153.5,"Yes","Others"
"149","Manhattan",102314,"Hospital (General Medical & Surgical)","Hospital (General Medical & Surgical)",138068,1969,1,100,"WholeBuilding",24,388.3,376.8,40.3,1.1,703,16879700.7,149851.5,19460918.5,5562886.3,3849.7,896.6,2953.2,138068,13224.2,95.78,721.5,"Yes","Others"
"151","Bronx",192939,"Residence Hall/Dormitory","Residence Hall/Dormitory",200261,1924,1,100,"Other",56,93.6,99.2,9.9,0.5,173.9,8996806,97764,6744127.4,1976590.4,1325.9,700.1,625.9,200261,NA,NA,168,"No","Others"
"155","Brooklyn",70734,"Residence Hall/Dormitory","Residence Hall/Dormitory",40000,1925,1,100,"Other",17,164.9,175.5,15.9,0,292.9,6037,63.3,4053230.9,1146228,964.6,588.4,376.1,72000,1460.7,20.29,286.4,"Yes","Others"
"157","Manhattan",59131,"Multifamily Housing","Multifamily Housing",54100,1939,1,100,"Other",3,2.6,2.6,0.6,0,7.1,30200,302,111531.5,32688,12,1.6,10.4,54100,7874.7,145.56,7.1,"Yes","MultiFamilyHousing"
"158","Manhattan",88332,"Residence Hall/Dormitory","Residence Hall/Dormitory",88332,1910,1,100,"Other",59,145,159.9,2.1,1.5,183.1,12136000.3,134783.5,675576,188516.6,707.3,644.6,62.7,88332,11388.6,128.93,168.3,"Yes","Others"
"159","Manhattan",178897,"Multifamily Housing","Multifamily Housing",188572,1909,1,100,"Other",3,29.8,29.8,0.9,0,36.4,92600,926,563935.4,165280,425,372.7,52.3,188572,NA,NA,36.4,"Yes","MultiFamilyHousing"
"161","Manhattan",87271,"Multifamily Housing","Multifamily Housing",87260,1964,1,100,"WholeBuilding",55,100.8,100.8,1,1,112.8,8507999.8,85080,290293,85080,478.8,451.9,26.9,87260,6990.5,80.11,112.8,"Yes","MultiFamilyHousing"
"162","Manhattan",87979,"Multifamily Housing","Multifamily Housing",89091,1967,1,100,"WholeBuilding",3,17.2,17.2,1.2,0.1,26.5,1177500,11775,351340.5,105215.1,95.1,62.5,32.6,89091,2659.3,29.85,26.3,"Yes","MultiFamilyHousing"
"164","Manhattan",54100,"Multifamily Housing","Multifamily Housing",53676,1910,1,100,"Other",3,3.4,3.4,1,NA,10.8,NA,NA,184186.6,53982,17.1,0,17.1,53676,1757.2,32.74,10.8,"Yes","MultiFamilyHousing"
"165","Manhattan",53352,"Multifamily Housing","Multifamily Housing",50292,1910,1,100,"Other",3,5.5,5.5,1.4,0,15.6,39900,399,235728.3,69088,24,2.1,21.9,50292,4099.9,81.52,15.6,"Yes","MultiFamilyHousing"
"166","Manhattan",64842,"Multifamily Housing","Multifamily Housing",62334,1980,1,100,"Other",85,78.9,78.9,1.2,0.7,91.1,4668999.9,46690,248796.2,72248.9,271.1,248,23.1,62334,3275.7,52.55,91.2,"Yes","MultiFamilyHousing"
"167","Manhattan",216559,"Senior Care Community","Senior Care Community",288790,1915,3,95,"WholeBuilding",64,213.4,222.2,16.8,1.6,352.6,43744973.5,465067.4,16880892.8,4839226,3964.2,2397.7,1566.5,288790,21137,73.19,346.1,"Yes","Others"
"175","Bronx",540388,"Bank Branch","Bank Branch",3190,2004,1,100,"Other",24,279,295.1,45.2,1.4,632.1,386555.7,4495.6,503490.5,144153.9,67.3,20.5,46.7,3190,NA,NA,622.8,"No","Others"
"177","Bronx",540388,"Bank Branch","Bank Branch",3800,2007,1,100,"Other",41,124.1,132,23.8,0.5,308.2,163200.7,1931,308465.1,90405.9,37.3,8.7,28.6,3800,NA,NA,300,"No","Others"
"178","Brooklyn",1259938,"Multifamily Housing","Multifamily Housing",1385656,1965,4,100,"WholeBuilding",24,175.4,174,NA,1.7,182.7,243056197.6,2410708.7,NA,NA,12909.9,12909.9,0,1385656,163058.3,117.68,184.2,"No","MultiFamilyHousing"
"179","Brooklyn",1800000,"Multifamily Housing","Multifamily Housing",1989288,1965,3,100,"WholeBuilding",13,181.6,179.9,NA,1.8,188.9,361225620.2,3579349.9,NA,NA,19186.4,19186.4,0,1989288,82766,41.61,190.7,"No","MultiFamilyHousing"
"180","Queens",NA,"Hospital (General Medical & Surgical)","Hospital (General Medical & Surgical)",480751,1987,3,100,"Other",48,218.7,218.7,29.4,1.2,439.3,56905321.8,569053.2,48224003.7,14133645.3,7497.7,3022.5,4475.2,480751,2785375.2,5793.8,439.3,"Yes","Others"
"181","Queens",NA,"Office","Office",89506,1978,1,100,"WholeBuilding",80,76.4,81,10.9,0.4,162.7,3516912.5,39262.7,3325632.2,974686.9,495.4,186.8,308.6,89506,3236.1,36.15,157.9,"No","Office"
"182","Queens",NA,"Hospital (General Medical & Surgical)","Hospital (General Medical & Surgical)",131610,1990,1,100,"WholeBuilding",3,11.2,11.6,NA,0.1,12.1,1475294.7,15218,NA,NA,78.4,78.4,0,131610,237581.3,1805.19,11.8,"Yes","Others"
"183","Queens",NA,"Hospital (General Medical & Surgical)","Hospital (General Medical & Surgical)",259635,1987,1,100,"WholeBuilding",57,383,382.2,50.5,2.1,761.2,54524832.5,545248.3,44913159.5,13102239.3,7064,2896.1,4167.9,259635,2544573.5,9800.58,763.7,"Yes","Others"
"184","Manhattan",436115,"Multifamily Housing","Multifamily Housing",436115,1928,6,95,"WholeBuilding",10,122.5,129.7,4.7,1.1,169.6,46177697.3,496299.8,7257526,2038135.5,3126.2,2452.7,673.5,436115,NA,NA,163.4,"Yes","MultiFamilyHousing"
"185","Manhattan",436115,"Multifamily Housing","Multifamily Housing",74068,1928,1,100,"Other",29,94.4,100.1,3.9,0.9,132.7,5995197.2,64321.1,996260.5,287207.5,410.9,318.4,92.5,74068,NA,NA,127.2,"Yes","MultiFamilyHousing"
"186","Manhattan",436115,"Multifamily Housing","Multifamily Housing",84442,1928,1,100,"Other",16,112,121.2,3.2,1.1,150.1,8669754.6,95103.3,980532,275487,551.5,460.5,91,86192,NA,NA,141.3,"Yes","MultiFamilyHousing"
"187","Manhattan",436115,"Multifamily Housing","Multifamily Housing",72806,1928,1,100,"Other",39,97,102.5,4.1,0.9,137.1,5995197.2,64321.1,1070432.5,301337.5,417.8,318.4,99.3,72806,NA,NA,132.6,"Yes","MultiFamilyHousing"
"188","Manhattan",436115,"Multifamily Housing","Multifamily Housing",74549,1928,1,100,"Other",57,105.2,111.8,4,1,146.1,6785387.7,73118.9,1056809.6,300343.9,458.5,360.4,98.1,74549,NA,NA,140.1,"Yes","MultiFamilyHousing"
"189","Manhattan",436115,"Multifamily Housing","Multifamily Housing",96602,1928,1,100,"Other",6,123.7,123.1,5.7,1,169.9,10543342,105433.4,2033804.2,579014.4,748.7,560,188.7,101686,NA,NA,171.7,"Yes","MultiFamilyHousing"
"190","Manhattan",436115,"Multifamily Housing","Multifamily Housing",61782,1928,1,100,"Other",1,150.6,160.6,5.1,1.4,205.4,8186833.3,88385.5,1119687.4,317998.9,538.7,434.8,103.9,61782,NA,NA,196,"Yes","MultiFamilyHousing"
"194","Queens",749142,"Multifamily Housing","Multifamily Housing",735000,1953,12,100,"WholeBuilding",97,35.5,34.6,7.7,0.1,91.6,5623182.4,59854.4,20492629.3,5695967.6,2200.4,298.7,1901.7,735000,45976.8,62.55,95.6,"Yes","MultiFamilyHousing"
"197","Queens",749142,"Multifamily Housing","Multifamily Housing",70000,1953,1,100,"WholeBuilding",3,65.2,NA,NA,NA,NA,NA,NA,NA,NA,277.3,277.3,0,70000,4414.3,63.06,67.5,"Yes","MultiFamilyHousing"
"199","Queens",749142,"Multifamily Housing","Multifamily Housing",70000,1953,1,100,"WholeBuilding",3,64.5,NA,NA,NA,NA,NA,NA,NA,NA,273.8,273.8,0,70000,4812.2,68.75,66.8,"Yes","MultiFamilyHousing"
"200","Queens",749142,"Multifamily Housing","Multifamily Housing",70000,1953,1,100,"WholeBuilding",3,65.9,NA,NA,NA,NA,NA,NA,NA,NA,279.8,279.8,0,70000,4457.6,63.68,68.2,"Yes","MultiFamilyHousing"
"201","Queens",749142,"Multifamily Housing","Multifamily Housing",70000,1953,1,100,"WholeBuilding",3,71.5,NA,NA,NA,NA,NA,NA,NA,NA,314.6,314.6,0,70000,4345.4,62.08,73.7,"Yes","MultiFamilyHousing"
"207","Queens",363265,"Multifamily Housing","Multifamily Housing",350000,1953,7,100,"WholeBuilding",99,27.4,26.1,7.6,NA,81.8,NA,NA,9580691,2672290.6,889.1,0,889.1,350000,21982.2,62.81,86,"Yes","MultiFamilyHousing"
"209","Queens",363265,"Multifamily Housing","Multifamily Housing",70000,1953,1,100,"WholeBuilding",31,154.5,170.8,NA,1.7,179.4,10817395,119577.3,NA,NA,574.6,574.6,0,70000,6466.9,92.38,162.3,"Yes","MultiFamilyHousing"
"211","Queens",363265,"Multifamily Housing","Multifamily Housing",70000,1953,1,100,"WholeBuilding",67,130,142.9,NA,1.4,150,9098339.9,100002.4,NA,NA,483.3,483.3,0,70000,5053.8,72.2,136.5,"Yes","MultiFamilyHousing"
"215","Queens",789880,"Multifamily Housing","Multifamily Housing",665000,1955,12,100,"WholeBuilding",100,27.9,26.6,7.2,0,79.3,1295562.5,13117.8,17238823.1,4794817.7,1668.6,68.8,1599.8,665000,33742.7,50.74,83.4,"Yes","MultiFamilyHousing"
"216","Queens",789880,"Multifamily Housing","Multifamily Housing",70000,1955,1,100,"WholeBuilding",3,59.4,64.2,NA,0.6,67.4,4161294.7,44916.2,NA,NA,221,221,0,70000,4071.6,58.17,62.4,"Yes","MultiFamilyHousing"
"217","Queens",789880,"Multifamily Housing","Multifamily Housing",70000,1955,1,100,"WholeBuilding",3,46.2,49.9,NA,0.5,52.4,3233502.1,34925.7,NA,NA,171.7,171.7,0,70000,3587.7,51.25,48.5,"Yes","MultiFamilyHousing"
"218","Queens",789880,"Multifamily Housing","Multifamily Housing",70000,1955,1,100,"WholeBuilding",3,1.6,1.8,NA,0,1.9,112927.5,1289.6,NA,NA,6,6,0,70000,3807.6,54.39,1.7,"Yes","MultiFamilyHousing"
"219","Queens",789880,"Multifamily Housing","Multifamily Housing",35000,1955,1,100,"WholeBuilding",3,68.7,NA,NA,NA,NA,NA,NA,NA,NA,135.1,135.1,0,35000,5169.1,147.69,71.7,"Yes","MultiFamilyHousing"
"220","Queens",789880,"Multifamily Housing","Multifamily Housing",70000,1955,1,100,"WholeBuilding",3,48.8,NA,NA,NA,NA,3419079,NA,NA,NA,181.6,181.6,0,70000,3242.8,46.33,51.3,"Yes","MultiFamilyHousing"
"221","Queens",789880,"Multifamily Housing","Multifamily Housing",35000,1955,1,100,"WholeBuilding",3,60.3,NA,NA,NA,NA,NA,NA,NA,NA,120.8,120.8,0,35000,1636,46.74,62.9,"Yes","MultiFamilyHousing"
"222","Queens",789880,"Multifamily Housing","Multifamily Housing",70000,1955,1,100,"WholeBuilding",3,37.2,NA,NA,NA,NA,NA,NA,NA,NA,162.3,162.3,0,70000,4051.4,57.88,38.4,"Yes","MultiFamilyHousing"
"224","Queens",789880,"Multifamily Housing","Multifamily Housing",70000,1955,1,100,"WholeBuilding",3,39.6,NA,NA,NA,NA,NA,NA,NA,NA,190.1,190.1,0,70000,3700.6,52.87,40.4,"No","MultiFamilyHousing"
"226","Queens",789880,"Multifamily Housing","Multifamily Housing",70000,1955,1,100,"WholeBuilding",3,58.1,NA,NA,NA,NA,NA,NA,NA,NA,261.9,261.9,0,70000,3494.9,49.93,59.8,"No","MultiFamilyHousing"
"228","Queens",394644,"Multifamily Housing","Multifamily Housing",350000,1954,5,100,"WholeBuilding",100,27.4,26.1,7,0,77.1,800922.6,8107.3,8790233,2438522.1,858.3,42.5,815.7,350000,22515.1,64.33,81.3,"No","MultiFamilyHousing"
"229","Queens",394644,"Multifamily Housing","Multifamily Housing",70000,1954,1,100,"WholeBuilding",3,56.8,NA,NA,NA,NA,NA,NA,NA,NA,258.3,258.3,0,70000,3947.5,56.39,58.3,"No","MultiFamilyHousing"
"230","Queens",394644,"Multifamily Housing","Multifamily Housing",70000,1954,1,100,"WholeBuilding",3,67.8,73.8,NA,0.7,77.3,4441754.9,48063.3,NA,NA,258.7,258.7,0,70000,4802.5,68.61,71,"No","MultiFamilyHousing"
"231","Queens",394644,"Multifamily Housing","Multifamily Housing",70000,1954,1,100,"WholeBuilding",3,47.7,NA,NA,NA,NA,NA,NA,NA,NA,213.5,213.5,0,70000,5260.3,75.15,49.1,"No","MultiFamilyHousing"
"233","Queens",394644,"Multifamily Housing","Multifamily Housing",70000,1954,1,100,"WholeBuilding",3,44.6,NA,NA,NA,NA,NA,NA,NA,NA,191.8,191.8,0,70000,4275.1,61.07,46.1,"No","MultiFamilyHousing"
"234","Queens",236984,"Multifamily Housing","Multifamily Housing",291876,1966,2,100,"WholeBuilding",66,42.4,44.9,12.7,0,137.6,468637.5,4727.6,11898121.3,3702505,1129,24.9,1104.1,291876,NA,NA,129.7,"Yes","MultiFamilyHousing"
