"","Borough","DOF.Gross.Floor.Area","Primary.Property.Type...Self.Selected","Largest.Property.Use.Type","Largest.Property.Use.Type...Gross.Floor.Area..ft..","Year.Built","Number.of.Buildings...Self.reported","Occupancy","Metered.Areas...Water.","Score","Site.EUI..kBtu.ft..","Weather.Normalized.Site.EUI..kBtu.ft..","Weather.Normalized.Site.Electricity.Intensity..kWh.ft..","Weather.Normalized.Site.Natural.Gas.Intensity..therms.ft..","Weather.Normalized.Source.EUI..kBtu.ft..","Natural.Gas.Use..kBtu.","Weather.Normalized.Site.Natural.Gas.Use..therms.","Electricity.Use...Grid.Purchase..kBtu.","Weather.Normalized.Site.Electricity..kWh.","Total.GHG.Emissions..Metric.Tons.CO2e.","Direct.GHG.Emissions..Metric.Tons.CO2e.","Indirect.GHG.Emissions..Metric.Tons.CO2e.","Property.GFA...Self.Reported..ft..","Water.Use..All.Water.Sources...kgal.","Water.Intensity..All.Water.Sources...gal.ft..","Source.EUI..kBtu.ft..","Water.Required.","building_type"
"9941","Queens",100890,"Multifamily Housing","Multifamily Housing",107952,1937,1,100,"WholeBuilding",39,96.3,102.9,3.7,0.9,134.5,8596899.5,93393.5,1416488.6,403672.7,616.7,485.3,131.4,107952,6747.1,62.5,128.4,"Yes","MultiFamilyHousing"
"9942","Queens",90950,"Multifamily Housing","Multifamily Housing",90950,1950,1,100,"WholeBuilding",52,84.5,90.1,3.9,0.7,122.4,5873800.1,64238.1,1260192.1,357249.8,469.9,353,116.9,90950,NA,NA,117.5,"Yes","MultiFamilyHousing"
"9943","Queens",186300,"Multifamily Housing","Multifamily Housing",195615,1951,5,100,"Other",3,14.9,14.5,4,0,44,145700,1457,2769394.1,788342.8,264.7,7.7,257,195615,NA,NA,45.2,"Yes","MultiFamilyHousing"
"9944","Queens",59756,"Multifamily Housing","Multifamily Housing",60000,1963,1,100,"Other",47,87.9,92.3,7.3,0.7,148.6,3746047.4,40512.5,1529385.8,435135,340.9,199,141.9,60000,4578.3,76.31,145.6,"Yes","MultiFamilyHousing"
"9945","Queens",66138,"Multifamily Housing","Multifamily Housing",69445,1937,1,100,"WholeBuilding",42,94.8,102.5,3.1,0.9,129.5,5820700.3,63926.4,764799.8,212962.8,380.1,309.2,71,69445,2865,41.26,122.6,"Yes","MultiFamilyHousing"
"9946","Queens",52122,"Multifamily Housing","Multifamily Housing",58278,1934,1,100,"Other",76,82.4,88.8,3.1,0.8,115.1,4159100,45670.2,644578.4,178640.8,280.7,220.9,59.8,58278,3165,54.31,109.7,"Yes","MultiFamilyHousing"
"9947","Queens",135070,"Multifamily Housing","Multifamily Housing",141824,1960,1,100,"WholeBuilding",92,79.6,85,3.3,0.7,112.7,9260838.7,100520.2,1641520.4,469731.9,673.4,521.1,152.3,141824,8788.9,61.97,107.7,"Yes","MultiFamilyHousing"
"9948","Queens",97170,"Multifamily Housing","Multifamily Housing",97170,1935,1,100,"WholeBuilding",86,70,NA,NA,NA,NA,6800517.9,NA,1131844.4,NA,466.2,361.2,105,113365,NA,NA,94.4,"No","MultiFamilyHousing"
"9949","Queens",75648,"Multifamily Housing","Multifamily Housing",69670,1930,1,100,"Other",56,82.4,88.4,3.5,0.8,117.7,4874680.9,53311.9,867859.2,242864.7,339.5,258.9,80.5,69670,NA,NA,112.6,"No","MultiFamilyHousing"
"9950","Queens",96000,"Multifamily Housing","Multifamily Housing",96000,1950,1,100,"WholeBuilding",64,89.8,96.2,4.2,0.8,130.8,7214318.3,78618.4,1405418.9,401847.5,513.6,383.2,130.4,96000,5301.4,55.22,124.9,"Yes","MultiFamilyHousing"
"9951","Queens",104000,"Multifamily Housing","Multifamily Housing",104000,1992,1,100,"WholeBuilding",96,30.4,NA,6.2,0,NA,268548.4,2685.5,2205117.4,646282.9,270.1,65.5,204.6,104000,8254,79.37,76,"Yes","MultiFamilyHousing"
"9952","Queens",124600,"Multifamily Housing","Multifamily Housing",145366,1949,1,100,"Other",94,80.3,87.3,3.3,0.7,115,9408000.6,102832.6,1715922.1,479795.7,699.2,540,159.2,145366,NA,NA,108.8,"Yes","MultiFamilyHousing"
"9953","Queens",128050,"Multifamily Housing","Multifamily Housing",109606,1939,1,100,"WholeBuilding",95,56.3,61.4,3.4,0.5,88.4,4881099.8,54793.4,1289418.7,367262.9,378.9,259.3,119.7,109606,5281.2,48.18,83.7,"Yes","MultiFamilyHousing"
"9954","Queens",90950,"Multifamily Housing","Multifamily Housing",91000,1950,1,100,"Other",72,78.9,83.4,4.1,0.7,116.5,5886098.8,63326.4,1290252.2,368878.7,432.4,312.6,119.7,91000,NA,NA,112.4,"Yes","MultiFamilyHousing"
"9955","Queens",114000,"Multifamily Housing","Multifamily Housing",113990,1951,1,100,"Other",86,82.4,88,3.8,0.7,119.6,7821925,85475.9,1573339.3,434485,561.5,415.5,146,113990,6073.4,53.28,115.4,"Yes","MultiFamilyHousing"
"9956","Queens",112760,"Multifamily Housing","Multifamily Housing",118398,1941,1,100,"WholeBuilding",94,66.4,70.7,3.2,0.6,96.9,6018367.1,65530.4,1327933.8,379607.5,481.6,358.3,123.2,118398,3334,28.16,93,"Yes","MultiFamilyHousing"
"9957","Queens",106800,"Multifamily Housing","Multifamily Housing",109498,1951,1,100,"WholeBuilding",86,77.9,82,4.1,0.7,115.4,6631299.8,71553.2,1621218.6,452548.4,523.2,372.7,150.4,109498,5406.2,49.37,112.6,"Yes","MultiFamilyHousing"
